WKT,FID,LSOA21CD,LSOA21NM,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
POINT (-2.40301 53.5875),4669,E01004930,Bolton 017D,373419,410176,-2.40301,53.5875,447585.6869,4789.84925,55045188-af66-47d9-b35b-927a60d5af67
POINT (-2.41338 53.58213),4670,E01004931,Bolton 017E,372729,409583,-2.41338,53.58213,342470.6699,6296.415778,7d41d435-404d-4662-97c9-06aadb4223a6
POINT (-2.40642 53.57856),4671,E01004932,Bolton 017F,373187,409183,-2.40642,53.57856,528971.9947,4802.858715,dbbb901b-72df-4943-9ded-1320f9727fe0
POINT (-2.52314 53.53061),4672,E01004933,Bolton 035A,365420,403899,-2.52314,53.53061,765169.5597,5274.038251,cc3df346-2997-42cd-9b7b-96a795e8157b
POINT (-2.53373 53.53056),4673,E01004934,Bolton 035B,364718,403898,-2.53373,53.53056,1081023.817,7359.061084,a07012da-9185-4108-aad0-2a99a0756035
POINT (-2.51605 53.53653),4674,E01004935,Bolton 035C,365895,404554,-2.51605,53.53653,471576.8879,4018.611738,3c1dc37d-c304-478a-b726-bf0959b1cb01
POINT (-2.52775 53.55058),4675,E01004936,Bolton 031C,365131,406123,-2.52775,53.55058,603408.8493,4272.335077,f33d8940-d8ca-490c-b7f6-0c9c5b076d8c
POINT (-2.54514 53.54036),4676,E01004937,Bolton 035D,363970,404994,-2.54514,53.54036,2080139.827,8834.021929,a8e92c86-7e23-4b65-b050-d172b6fd6092
POINT (-2.52319 53.54425),4677,E01004938,Bolton 031D,365428,405416,-2.52319,53.54425,288949.3376,3230.849947,7b73393b-e3b9-4302-8372-feaf969c9cb0
POINT (-2.53371 53.54543),4678,E01004939,Bolton 031E,364732,405553,-2.53371,53.54543,680906.3131,5259.972403,6985f635-65d4-49e5-a783-b222963ee7af
